No,Issue 일자,구분,집계여부,집계분류(대),발생처/검사처,제품군,이전공정(발생처),생의번호(SO),생의번호(WO),생의건수(건),JDE 등록여부,고객사,품명,Item Code 또는 규격,긴급검사 여부,수량_생의,수량_검사의뢰,저항1,저항2,두께1,두께2,두께3,두께4,두께5,두께6,두께7,두께8,명도1,특기사항,검사시간(분),검사자/담당자,POP등록여부,검사장비,초도품(FA),판정,부적합 수준,NCR No,귀책구분,귀책처_발생,귀책담당자_발생,귀책처_유출,귀책담당자_유출,치수,특성,조립,누락,형상,외관,기타,불량현상(세부내용),대책서 접수일자,시정(구분),시정(세부내용),시정(일자),원인(구분),원인(세부내용),대책(세부내용),대책(적용일자),유효성(확인일자),유효성(확인한 생의번호),유효성(확인자),유효성(판정),F-Cost_재료,F-Cost_가공/공구,F-Cost_인건,F-Cost_운송,F-Cost_출장,F-Cost_기타,F-Cost_합계,수량_검사(치수),수량_검사(외관),수량_불량(치수),수량_불량(외관),수량_불량(합계),일정_적용월,일정_주차,F-Cost_구분,부적합 종결,발생~대책접수(일),발생~시정(일),발생~대책적용(일),발생~유효성확인(일),대책서 접수,검사수 확인,집계_현상,비고,WO 실시간 등록 여부
a,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,주광정밀,,10093141,1,,AXCELIS TECHNOLOGIES,LINER FRONT SCANNER(170172141),A045S1200,,1,1,,,,,,,,,,,,,30,최인규,YES,,,불합격,중대,MKQ-D250731-005,공급자,주광정밀,주광정밀,,,1,,,,,,,"Spec : 404.4 ~ 404.6 // 263.25 ~ 263.75
Act : 404.6493 // 263.2120",-,폐기(재생산),부적합시정조치 요구서 발행 및 재가공 요청,2025-08-11 00:00:00,제외,주광정밀 초도품 제작으로 집계 재외,주광정밀 초도품 제작으로 집계 재외,-,-,-,-,,0,0,0,0,0,0,0,1,1,1,0,1,2025-08-01 00:00:00,32,내적실패,종결,,5,,,접수,True,,,O
6716,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,탑카본,,10096616,1,,（주）에스이티,GRAPHITE(E17549910),S402S054,,10,10,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,10,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6717,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,탑카본,,10096611,1,,（주）에스이티,GRAPHITE(E17549910),S402S054,,10,10,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,10,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6718,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,탑카본,,10096621,1,,（주）에스이티,GRAPHITE(E17549910),S402S054,,10,10,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,10,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6719,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,탑카본,,10096729,1,,삼성전자（주）,LINER S-862SET E11295310(S),S008S862-2,Y,9,9,,,,,,,,,,,,,30,유현정,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,9,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6720,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,탑카본,,10096728,1,,삼성전자（주）,LINER S-862SET E11295310(S),S008S862-1,Y,9,9,,,,,,,,,,,,,30,유현정,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,9,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6721,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,탑카본,,10096741,1,,삼성전자（주）,LINER S-863SET E11295300,S008S863-3,,6,6,,,,,,,,,,,,,30,유현정,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,6,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6722,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,탑카본,,10096755,1,,삼성전자（주）,LINER 170157233(S),S008S972,,10,10,,,,,,,,,,,,,30,유현정,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,10,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6723,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,주광정밀,,10097606,1,,AXCELIS TECHNOLOGIES,LINER FLAG CUP(170169255),A045S1019,,6,6,,,,,,,,,,,,,30,유현정,YES,MVS,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,6,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6724,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,주광정밀,,10097585,1,,AXCELIS TECHNOLOGIES,SHIELD(170078000),A045S324,,10,10,,,,,,,,,,,,,30,유현정,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,10,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
